geneSymbol,numVariantes
MUC16,54
MUC22,42
TTN,41
PPP2R2D,35
LILRB1,30
ZDHHC11,28
HLA-B,27
IQCE,26
MUC12,25
MST1L,23
HLA-DRB1,22
AC073869.20,22
HYDIN,22
BTN3A1,22
FCGBP,21
XIRP2,21
PCSK5,21
XIAP,21
TBL3,21
HLA-C,20
FAM136A,20
SCN7A,20
EYS,20
GLP2R,20
SORD,19
KRT40,19
IL17RA,18
PLEKHG4B,18
HMGA2,18
FAM149B1,18
CLCN7,18
FLG,17
SYNE1,17
AHNAK2,17
ABCB5,17
PKD1L1,17
CDON,17
ZDHHC11B,16
USP8,16
KMT2D,16
MUC17,16
SSPO,16
ACSM5,16
PYGB,16
GADL1,15
AKR1C2,15
CSMD1,15
SSR1,15
ONECUT3,15
MUC6,15
PTPRT,15
MUC5B,15
PSPH,15
DLGAP2,15
TTLL7,15
HLA-DQB1,15
TMEM170B,15
STEAP1B,15
CLCNKA,15
FLNC,15
C9orf78,15
BNIP2,15
FOXK2,15
HLA-DRB5,14
,14
PCNXL2,14
PABPC1,14
LRP1B,14
SCN11A,14
DRD5P2,14
RBM33,14
KIAA1239,14
RCVRN,14
BHLHE40,14
CNOT6,14
DNAAF1,14
LILRA1,14
CDC42BPA,13
MYO7A,13
DDX11,13
MAPRE2,13
PDXK,13
CACNB4,13
ABCA13,13
KMT2C,13
MAF,13
HLA-A,13
MUC19,13
KRT82,13
SORL1,13
IGFN1,13
EIF3F,13
PDE4DIP,13
THBS2,13
CREB3L2,13
LPP,13
GPR123,13
TRIM67,13
SH3PXD2A,13
TPPP,13
HMCN1,13
CELSR3,13
ZZEF1,13
ECD,13
PIGG,13
EVC,13
UBE2QL1,13
BTN3A2,13
DCAF10,13
RP11-551L14.1,13
NCOR2,13
EXOC5,13
ATAD5,13
DDC8,13
MUC20,12
LIMCH1,12
DDX60L,12
GPR98,12
RUNX1T1,12
TENM4,12
TBC1D31,12
KMT2A,12
ZNF208,12
TTC30A,12
DNAH7,12
DST,12
PRUNE2,12
C3,12
ZFHX3,12
SERHL2,12
MICAL3,12
CECR6,12
FAM46C,12
UBR4,12
PCLO,12
HIVEP2,12
FBXO32,12
TATDN3,12
FOXK1,12
GPSM2,12
CNTN2,12
NNT,12
BTN2A3P,12
TRAM2,12
MLLT3,12
C9orf96,12
H19,12
FLJ27365,12
DPCR1,12
TCP10,11
RP11-111M22.2,11
MCF2L,11
TMX4,11
PUM1,11
KPNA4,11
ZNF587,11
PPP1CB,11
MUTYH,11
CSMD3,11
ADAMTS18,11
ZNF286A,11
NEB,11
DNAH5,11
GCNT1,11
ZFP37,11
ADAMTS13,11
ZNF99,11
RYR1,11
OBSCN,11
TEP1,11
MUC4,11
EP400,11
MAVS,11
LONP2,11
NLRC5,11
DSPP,11
TECPR1,11
MYCBP2,11
SCN8A,11
HDAC2,11
TFCP2,11
TTC18,11
AKR7L,11
COPS8,11
GNB2L1,11
HCG17,11
MICB,11
MDN1,11
ASL,11
UBN2,11
PTGS1,11
CYP2A6,10
SGSM1,10
SOX11,10
P4HA1,10
ANKLE2,10
DNAH8,10
MUC3A,10
RAB21,10
ATP9A,10
OSTM1,10
DGKB,10
DCAF4,10
LZTR1,10
FMN2,10
MCF2L2,10
VPS41,10
RUNDC3B,10
BRAF,10
MCTP2,10
AC018804.7,10
SDHAP1,10
HP1BP3,10
TTC39A,10
LAMA2,10
PAX5,10
FAT3,10
PPP2R5C,10
FBN3,10
ZNF141,10
HLA-DQA1,10
PRTG,10
GID4,10
BSND,10
MTX3,10
C8orf34,10
RAI1,10
ABCA12,10
SLCO2A1,10
ZAN,10
LRWD1,10
SYNE2,10
FBN1,10
MLEC,10
LINS,10
CBLB,10
FAM3C,10
YIPF6,10
ARHGEF11,10
MAP2,10
ERVFRD-1,10
MTMR7,10
MAN1B1,10
PCDH15,10
MRPL17,10
LUZP2,10
DPY19L2,10
LRRC28,10
ABCC11,10
GSE1,10
FANCA,10
CTD-3105H18.14,10
RUVBL2,10
URB1,10
ZDHHC8,10
PNMA3,10
PRKAA2,9
LYST,9
HIP1,9
CCDC171,9
MKI67,9
NPAP1,9
CEP350,9
ERAP1,9
HLA-DQA2,9
TRIM73,9
PREX2,9
SVIL,9
PTEN,9
SMPD3,9
DHX33,9
DNAH9,9
BAGE2,9
PDE4D,9
KIF13A,9
PKHD1,9
SNAPC3,9
MSR1,9
AACS,9
KATNAL1,9
HAUS3,9
HMCN2,9
ARHGEF7,9
TPSD1,9
ADAP1,9
SLC17A6,9
MMAB,9
VWA8,9
COL6A1,9
MYO10,9
CYB5R3,9
GLTSCR1,9
RP3-470B24.5,9
ACOT11,9
SLC8A3,9
KIAA1549,9
DSCAM,9
EPC1,9
MUC5AC,9
ORAI2,9
MACF1,9
